idacr;leader;plad_id;archigos_id;startdate;enddate;startyear;endyear;adm0;adm1;adm2;country;continent;latitude;longitude;geoname;geo_precision;foreign_leader;ethnicity1;ethnicity2;ethnicity_geoepr1;ethnicity_geoepr2;ethnicitysource1;ethnicitysource2;ethnicity_precision;entry;exit;gender;yrborn;birthdate;uid;id_0;id_1;id_2;gid_0;gid_1;gid_2;edu_name;edu_r;birthplace_comment;ethnicity_comment
ALB;Meta;ALB_1999_1;821abfdc-1e42-11e4-b4cd-db5882bf8def;29oct1999;22feb2002;1999;2002;Albania;Berat;Skraparit;Albania;Europe;41;20;Çorovodë;1;0;Albanian;.;Albanians;.;https://www.rferl.org/a/albania-president-serbia/28877909.html;https://dod.defense.gov/News/Article/Article/1677428/albanian-president-discusses-security-euro-atlantic-integration-at-marshall-cen/;2;Regular;Regular;M;1969;.;116143;4;1;3;ALB;ALB.1_1;ALB.1.3_1;.;6;.;.
ALB;Majko;ALB_2002_1;821abfdb-1e42-11e4-b4cd-db5882bf8def;22feb2002;31jul2002;2002;2002;Albania;Tiranë;Tiranës;Albania;Europe;41;20;Tirana;1;0;Albanian;.;Albanians;.;https://en.wikipedia.org/wiki/Pandeli_Majko;https://www.sbs.com.au/yourlanguage/albanian/en/audiotrack/mr-pandeli-majko-his-first-visit-australia;2;Regular;Regular;M;1967;15nov1967;112142;4;11;34;ALB;ALB.11_1;ALB.11.2_1;Degrees in engineering and law;7;.;.
ALB;Fatos Nano;ALB_2002_2;821abfda-1e42-11e4-b4cd-db5882bf8def;31jul2002;11sep2005;2002;2005;Albania;Tiranë;Tiranës;Albania;Europe;41;20;Tirana;1;0;Albanian;.;Albanians;.;https://en.wikipedia.org/wiki/Fatos_Nano;https://www.thefamouspeople.com/profiles/fatos-nano-6872.php;2;Regular;Regular;M;1952;16sep1952;112142;4;11;34;ALB;ALB.11_1;ALB.11.2_1;PhD in political economy;8;.;.
ALB;Berisha;ALB_2005_1;35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7;11sep2005;15sep2013;2005;2013;Albania;Kukës;Tropojës;Albania;Europe;42;20;Viçidol;1;0;Albanian;.;Albanians;.;http://president.al/en/prof-dr-sali-berisha/;https://www.thefamouspeople.com/profiles/sali-berisha-6882.php;2;Regular;Regular;M;1944;15oct1944;106502;4;8;25;ALB;ALB.8_1;ALB.8.3_1;PhD in medicine;8;.;.
ALB;Rama;ALB_2013_1;149e63e7-aae0-11e4-b3bc-29f2fa19767e;15sep2013;31dec2020;2013;2020;Albania;Tiranë;Tiranës;Albania;Europe;41;20;Tirana;1;0;Albanian;.;Albanians;.;https://eeas.europa.eu/delegations/albania/56706/eu-commissioner-johannes-hahn-and-albanian-prime-minister-edi-rama-meet-tirana_en;https://en.wikipedia.org/wiki/Edi_Rama;2;Regular;Still in Office;M;1964;04jul1964;112142;4;11;34;ALB;ALB.11_1;ALB.11.2_1;Degree in Arts from the Academy of Arts of Tirana;6;.;.
ALG;Benjedid;ALG_1979_1;823bf0a6-1e42-11e4-b4cd-db5882bf8def;07feb1979;11jan1992;1979;1992;Algeria;El Tarf;Bouteldja;Algeria;Africa;37;8;Bouteldja;1;0;Arab;.;Arab;.;https://algeria-watch.org/?p=4642;https://prabook.com/web/chadli.bendjedid/512308;1;Regular;Irregular;M;1929;14apr1929;122911;5;19;573;DZA;DZA.19_1;DZA.19.9_1;.;3;.;.
ALG;Boudiaf;ALG_1992_1;823bf0a7-1e42-11e4-b4cd-db5882bf8def;14jan1992;29jun1992;1992;1992;Algeria;M'Sila;M'Sila;Algeria;Africa;36;5;Commune de M'Sila;1;0;Arab;.;Arab;.;https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition;https://www.youtube.com/watch?v=Qe1Fd5Ud6No;1;Irregular;Irregular;M;1919;23jun1919;124027;5;26;737;DZA;DZA.26_1;DZA.26.23_1;Primary school education;3;.;.
ALG;Kafi;ALG_1992_2;823bf0a8-1e42-11e4-b4cd-db5882bf8def;02jul1992;31jan1994;1992;1994;Algeria;Skikda;El Harrouch;Algeria;Africa;37;7;El Harrouch;2;0;Arab;.;Arab;.;https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition;.;3;Regular;Regular;M;1928;.;123187;5;39;1208;DZA;DZA.39_1;DZA.39.18_1;.;3;.;.
ALG;Zeroual;ALG_1994_1;823bf0a9-1e42-11e4-b4cd-db5882bf8def;31jan1994;27apr1999;1994;1999;Algeria;Batna;Hidoussa;Algeria;Africa;36;6;Batna;1;0;Arab;.;Arab;.;https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition;.;2;Regular;Regular;M;1941;.;124242;5;6;155;DZA;DZA.6_1;DZA.6.25_1;.;5;.;.
ALG;Bouteflika;ALG_1999_1;823bf0aa-1e42-11e4-b4cd-db5882bf8def;27apr1999;02apr2019;1999;2019;Morocco;Oriental;Oujda Angad;Algeria;Africa;35;-2;Oujda;1;1;Arab;.;Arab;.;https://en.qantara.de/content/ethnic-conflict-in-algeria-a-struggle-for-power-and-recognition;.;3;Regular;Irregular;M;1937;02mar1937;124993;152;10;33;MAR;MAR.10_1;MAR.10.5_1;.;5;.;.
ALG;Abdelkader Bensalah;ALG_2019_1;.;09apr2019;19dec2019;2019;2019;Algeria;Tlemcen;Fellaoucene;Algeria;Africa;35;-2;Fellaoucene;1;0;.;.;.;.;.;.;.;Regular;Regular;M;1941;24nov1941;124728;5;48;1478;DZA;DZA.48_1;DZA.48.27_1;.;.;.;.
ALG;Abdelmadjid Tebboune;ALG_2019_2;.;19dec2019;31dec2020;2019;2020;Algeria;Naâma;Mecheria;Algeria;Africa;34;0;Mécheria;1;0;.;.;.;.;.;.;.;Regular;Still in Office;M;1945;17nov1945;126600;5;31;944;DZA;DZA.31_1;DZA.31.8_1;Degree in economics and finance from national school for public administration;6;.;.
ANG;Dos Santos;ANG_1979_1;8233edb6-1e42-11e4-b4cd-db5882bf8def;10sep1979;25sep2017;1979;2017;Angola;Luanda;Sambizanga;Angola;Africa;-9;13;urban district Sambizanga of Luanda;1;0;Ambundu;.;Mbundu-Mestico;.;https://books.google.de/books?id=IBLqCgAAQBAJ&pg=PT143&lpg=PT143&dq=dos+santos+angola+Ambundu&source=bl&ots=jc5VWwsu4e&sig=ACfU3U0X1jcFd0yXmErFRlZXh_as9IG0cQ&hl=de&sa=X&ved=2ahUKEwiY6PDIqILjAhUIMuwKHZtWD0sQ6AEwC3oECAcQAQ#v=onepage&q=dos%20santos%20angola%20Ambundu&f=false  Tim Marshall Die MAcht der Geographie;http://countrystudies.us/angola/46.htm;1;Regular;Regular;M;1942;28aug1942;169378;8;11;99;AGO;AGO.11_1;AGO.11.8_1;.;6;.;.
ANG;Joao Lourenco;ANG_2017_1;.;25sep2017;31dec2020;2017;2020;Angola;Benguela;Lobito;Angola;Africa;-12;14;Lobito;1;0;Ovimbundu;.;Ovimbundu-Ovambo;.;https://www.plataformamedia.com/en-uk/news/politics/joao-lourenco-anticipates-a-second-term-and-wants-more-of-portugal-in-angola-10231906.html;.;2;Regular;Still in Office;M;1954;05mar1954;170626;8;2;14;AGO;AGO.2_1;AGO.2.9_1;Master´s degree in historical sciences;7;.;.
ARG;Alfonsin;ARG_1983_1;82043db6-1e42-11e4-b4cd-db5882bf8def;10dec1983;08jul1989;1983;1989;Argentina;Buenos Aires;Chascomús;Argentina;Americas;-36;-58;Chascomús;1;0;Spaniard, British;.;Whites/mestizos;.;https://www.nytimes.com/2009/04/01/world/americas/01alfonsin.html;https://ethnicelebs.com/raul-alfonsin;1;Regular;Regular;M;1926;13mar1926;29588;12;1;27;ARG;ARG.1_1;ARG.1.27_1;.;7;.;.
ARG;Menem;ARG_1989_1;82046e88-1e42-11e4-b4cd-db5882bf8def;08jul1989;10dec1999;1989;1999;Argentina;La Rioja;Castro Barros;Argentina;Americas;-29;-67;Anillaco;1;0;Syrian;.;.;.;https://www.britannica.com/biography/Carlos-Menem;https://www.telegraph.co.uk/news/worldnews/southamerica/argentina/11787717/Carlos-Menem-goes-on-trial-over-bombing-of-Buenos-Aires-Jewish-centre.html;1;Regular;Regular;M;1930;02jul1930;28334;12;12;302;ARG;ARG.12_1;ARG.12.3_1;.;7;.;.
ARG;de la Rua;ARG_1999_1;82046e89-1e42-11e4-b4cd-db5882bf8def;10dec1999;21dec2001;1999;2001;Argentina;Córdoba;Capital;Argentina;Americas;-31;-64;Córdoba;1;0;Italian;Spaniard;Whites/mestizos;Whites/mestizos;http://ethnicelebs.com/fernando-de-la-rua;.;2;Regular;Regular;M;1937;15sep1937;29091;12;6;186;ARG;ARG.6_1;ARG.6.2_1;.;8;.;.
ARG;Ramon Puerta;ARG_2001_1;82046e8a-1e42-11e4-b4cd-db5882bf8def;21dec2001;23dec2001;2001;2001;Argentina;Misiones;Apóstoles;Argentina;Americas;-28;-56;Apóstoles;1;0;Spaniard;.;Whites/mestizos;.;https://www.buscabiografias.com/biografia/verDetalle/10556/Ramon%20Puerta;.;2;Regular;Regular;M;1951;.;27928;12;14;336;ARG;ARG.14_1;ARG.14.1_1;.;6;.;.
ARG;Adolfo Rodriguez Saa;ARG_2001_2;82049f5c-1e42-11e4-b4cd-db5882bf8def;23dec2001;01jan2002;2001;2002;Argentina;San Luis;La Capital;Argentina;Americas;-33;-66;San Luís;1;0;Spaniard;.;Whites/mestizos;.;https://en.wikipedia.org/wiki/Adolfo_Rodr%C3%ADguez_Sa%C3%A1;https://ethnicelebs.com/adolfo-rodriguez-saa;2;Regular;Regular;M;1947;.;29323;12;19;430;ARG;ARG.19_1;ARG.19.8_1;Degree in law;7;.;.
ARG;Eduardo Duhalde;ARG_2002_1;82049f5d-1e42-11e4-b4cd-db5882bf8def;02jan2002;25may2003;2002;2003;Argentina;Buenos Aires;Lomas de Zamora;Argentina;Americas;-35;-58;Lomas de Zamora;1;0;Spaniard;.;Whites/mestizos;.;http://ethnicelebs.com/eduardo-duhalde;https://ethnicelebs.com/eduardo-duhalde;2;Regular;Regular;M;1941;05oct1941;29540;12;1;71;ARG;ARG.1_1;ARG.1.71_1;.;7;.;.
ARG;Nestor Kirchner;ARG_2003_1;82049f5e-1e42-11e4-b4cd-db5882bf8def;25may2003;10dec2007;2003;2007;Argentina;Santa Cruz;Güer Aike;Argentina;Americas;-52;-69;Río Gallegos;1;0;Swiss-German, Croat;.;Whites/mestizos;.;https://ethnicelebs.com/nestor-kirchner;https://en.wikipedia.org/wiki/N%C3%A9stor_Kirchner;2;Regular;Regular;M;1950;.;29860;12;20;434;ARG;ARG.20_1;ARG.20.3_1;.;7;.;.
ARG;Fernandez de Kirchner;ARG_2007_1;8250bb5e-1e42-11e4-b4cd-db5882bf8def;10dec2007;10dec2015;2007;2015;Argentina;Buenos Aires;La Plata;Argentina;Americas;-35;-58;Tolosa;2;0;Spaniard, German;.;Whites/mestizos;.;https://en.wikipedia.org/wiki/Cristina_Fern%C3%A1ndez_de_Kirchner;https://ethnicelebs.com/cristina-fernandez-de-kirchner;2;Regular;Regular;F;1953;19feb1953;29560;12;1;63;ARG;ARG.1_1;ARG.1.63_1;.;7;.;.
ARG;Mauricio Macri;ARG_2015_1;43f5aea2-de6a-11e5-ba44-bb6d7c1a9a58;10dec2015;10dec2019;2015;2019;Argentina;Buenos Aires;Tandil;Argentina;Americas;-37;-59;Tandil;1;0;Italian, Spaniard;.;Whites/mestizos;.;https://foreignpolicy.com/2018/05/18/mauricio-macri-was-supposed-to-be-different/;http://ethnicelebs.com/mauricio-macri;1;Regular;Regular;M;1959;08feb1959;29671;12;1;115;ARG;ARG.1_1;ARG.1.115_1;Bachelor´s degree in engineering;6;.;.
ARG;Alberto Fernandez;ARG_2019_1;.;10dec2019;31. Dec 20;2019;2020;Argentina;Ciudad de Buenos Aires;Distrito Federal;Argentina;Americas;-35;-58;Buenos Aires;1;0;.;.;.;.;.;.;.;Regular;Still in Office;M;1959;02apr1959;29510;12;5;184;ARG;ARG.5_1;ARG.5.1_1;PhD in law;8;.;.
ARM;Ter-Petrosyan;ARM_1991_1;82235551-1e42-11e4-b4cd-db5882bf8def;16oct1991;03feb1998;1991;1998;Syria;Aleppo;Al Bab;Armenia;Asia;36;38;Aleppo;1;1;Armenian;.;Armenians;.;http://www.armeniapedia.org/wiki/Levon_Ter-Petrosyan;.;3;Regular;Regular;M;1945;.;123357;224;2;8;SYR;SYR.2_1;SYR.2.4_1;.;8;.;.
ARM;Kocharian;ARM_1998_1;82235552-1e42-11e4-b4cd-db5882bf8def;04feb1998;09apr2008;1998;2008;Azerbaijan;Yukhari-Karabakh;Khankendi  (Nagorno-Karabakh);Armenia;Asia;40;47;Stepanakert;1;1;Armenian;.;Armenians;.;https://www.wsj.com/articles/SB886719202525524000;.;2;Regular;Regular;M;1954;31aug1954;118165;17;10;73;AZE;AZE.10_1;AZE.10.4_1;.;6;.;.
ARM;Sarkisyan;ARM_2008_1;82530552-1e42-11e4-b4cd-db5882bf8def;09apr2008;09apr2018;2008;2018;Azerbaijan;Yukhari-Karabakh;Khankendi  (Nagorno-Karabakh);Armenia;Asia;40;47;Stepanakert;1;1;Armenian;.;Armenians;.;.;.;3;Regular;Regular;M;1954;30jun1954;118165;17;10;73;AZE;AZE.10_1;AZE.10.4_1;.;6;.;.
ARM;Armen Sarkissian;ARM_2018_1;.;09apr2018;31dec2020;2018;2020;Armenia;Erevan;.;Armenia;Asia;40;45;Yerevan;1;0;.;.;.;.;.;.;.;Regular;Still in Office;M;1953;23jun1953;117049;13;4;.;ARM;ARM.4_1;.;PhD in physics;8;.;.
AUL;Hawke;AUL_1983_1;824e4085-1e42-11e4-b4cd-db5882bf8def;11mar1983;19dec1991;1983;1991;Australia;South Australia;Tatiara;Australia;Oceania;-36;141;Bordertown;1;0;.;.;.;.;.;.;.;Regular;Regular;M;1929;09dec1929;338939;15;8;305;AUS;AUS.8_1;AUS.8.57_1;.;7;.;.
AUL;Keating;AUL_1991_1;824e4086-1e42-11e4-b4cd-db5882bf8def;19dec1991;11mar1996;1991;1996;Australia;New South Wales;Sydney;Australia;Oceania;-34;151;Sydney;1;0;English-Irish;.;Whites;.;David Day (2015). Paul Keating: The Biography. Fourth Estate. pp. 3-12;.;2;Regular;Regular;M;1945;18jan1945;338829;15;5;126;AUS;AUS.5_1;AUS.5.122_1;.;3;.;.
AUL;Howard;AUL_1996_1;824e715e-1e42-11e4-b4cd-db5882bf8def;11mar1996;03dec2007;1996;2007;Australia;New South Wales;Sydney;Australia;Oceania;-34;151;Sydney;1;0;"British (""English, Scottish, and Irish"")";.;Whites;.;https://en.wikipedia.org/wiki/John_Howard#Early_and_personal_life;"Errington, Wayne; Van Onselen, Peter (2007), John Winston Howard: The Biography, Melbourne: Melbourne University Press, ISBN 978-0-522-85334-6";2;Regular;Regular;M;1939;26jul1939;338829;15;5;126;AUS;AUS.5_1;AUS.5.122_1;.;6;.;.
AUL;Rudd;AUL_2007_1;8255e1cb-1e42-11e4-b4cd-db5882bf8def;03dec2007;24jun2010;2007;2010;Australia;Queensland;Sunshine Coast;Australia;Oceania;-27;153;Nambour;1;0;English-Irish;.;Whites;.;https://www.news.com.au/news/convict-roots-of-rudds-family-tree/news-story/79309063e559db4b42509955f695b0b7;.;2;Regular;Regular;M;1957;21sep1957;338584;15;7;236;AUS;AUS.7_1;AUS.7.62_1;Bachelor´s degree in sinology;6;.;.
AUL;Gillard;AUL_2010_1;8255e1cc-1e42-11e4-b4cd-db5882bf8def;24jun2010;27jun2013;2010;2013;United Kingdom;Wales;Vale of Glamorgan;Australia;Oceania;51;-3;Barry;1;1;Welsh;.;Whites;.;https://www.theguardian.com/world/2013/jun/26/julia-gillard-biography-politics;.;2;Regular;Regular;F;1961;29sep1961;43598;242;4;182;GBR;GBR.4_1;GBR.4.21_1;.;7;.;.
AUL;Rudd;AUL_2013_1;8255e1cb-1e42-11e4-b4cd-db5882bf8def;27jun2013;18sep2013;2013;2013;Australia;Queensland;Sunshine Coast;Australia;Oceania;-27;153;Nambour;1;0;English-Irish;.;Whites;.;https://www.news.com.au/news/convict-roots-of-rudds-family-tree/news-story/79309063e559db4b42509955f695b0b7;.;2;Regular;Regular;M;1957;21sep1957;338584;15;7;236;AUS;AUS.7_1;AUS.7.62_1;Bachelor´s degree in sinology;6;.;.
AUL;Abbott;AUL_2013_2;2b3ec881-3481-11e4-8dba-bbcd9ed46413;18sep2013;15sep2015;2013;2015;United Kingdom;England;Greater London;Australia;Oceania;52;0;London;1;1;English;.;Whites;.;https://ethnicelebs.com/tony-abbott;https://www.thefamouspeople.com/profiles/tony-abbott-10794.php;1;Regular;Regular;M;1957;04nov1957;43572;242;1;36;GBR;GBR.1_1;GBR.1.36_1;Master´s degree in politics and philosophy;7;.;.
AUL;Malcolm Turnbull;AUL_2015_1;43fcd2be-de6a-11e5-ba44-bb6d7c1a9a58;15sep2015;24aug2018;2015;2018;Australia;New South Wales;Sydney;Australia;Oceania;-34;151;Sydney;1;0;English, Scottish, Irish;.;Whites;.;https://ethnicelebs.com/malcolm-turnbull;https://en.wikipedia.org/wiki/Malcolm_Turnbull;2;Regular;Regular;M;1954;24oct1954;338829;15;5;126;AUS;AUS.5_1;AUS.5.122_1;Bachelor´s degree in law;6;.;.
AUL;Scott Morrison;AUL_2018_1;.;24aug2018;31dec2020;2018;2020;Australia;New South Wales;Sydney;Australia;Oceania;-34;151;Sydney;1;0;English, smaller amounts of Scottish, Cornish, Irish, and Scots-Irish/Northern Irish;.;Whites;.;https://ethnicelebs.com/scott-morrison;.;2;Regular;Still in Office;M;1968;13may1968;338829;15;5;126;AUS;AUS.5_1;AUS.5.122_1;Bachelor´s degree in economic geography;6;.;.
AUS;Vranitzky;AUS_1986_1;8216ef36-1e42-11e4-b4cd-db5882bf8def;16jun1986;28jan1997;1986;1997;Austria;Wien;Wien;Austria;Europe;48;16;Vienna;1;0;Austrian;.;Austrians;.;https://www.munzinger.de/search/portrait/Franz+Vranitzky/0/17417.html;http://www.wina-magazin.at/man-muss-leben-so-nehmen-wie-es-kommt/;3;Regular;Regular;M;1937;04oct1937;67652;16;9;96;AUT;AUT.9_1;AUT.9.1_1;.;6;.;.
AUS;Klima;AUS_1997_1;8216ef37-1e42-11e4-b4cd-db5882bf8def;28jan1997;04feb2000;1997;2000;Austria;Niederösterreich;Mödling;Austria;Europe;48;16;Schwechat;1;0;Hungarian;Czech;Hungarians;Czechs;https://www.spiegel.de/spiegel/print/d-8651720.html;https://www.munzinger.de/search/portrait/Viktor+Klima/0/21030.html;1;Regular;Regular;M;1947;04jun1947;68865;16;3;33;AUT;AUT.3_1;AUT.3.14_1;.;7;.;.
AUS;Schussel;AUS_2000_1;8216ef38-1e42-11e4-b4cd-db5882bf8def;05feb2000;11jan2007;2000;2007;Austria;Wien;Wien;Austria;Europe;48;16;Vienna;1;0;Austrian;.;Austrians;.;https://www.munzinger.de/search/portrait/Wolfgang+Sch%C3%BCssel/0/18836.html;https://www.kas.de/web/geschichte-der-cdu/personen/biogramm-detail/-/content/wolfgang-schuessel-v1;3;Regular;Regular;M;1945;07jun1945;67652;16;9;96;AUT;AUT.9_1;AUT.9.1_1;.;8;.;.
AUS;Gusenbauer;AUS_2007_1;8251af7d-1e42-11e4-b4cd-db5882bf8def;11jan2007;02dec2008;2007;2008;Austria;Niederösterreich;Sankt Pölten;Austria;Europe;48;16;St. Pölten;1;0;Austrian;.;Austrians;.;https://www.spiegel.de/politik/ausland/spoe-chef-gusenbauer-bieder-muerrisch-siegreich-a-440499.html;https://diepresse.com/home/schaufenster/salon/4696050/Alfred-Gusenbauer_Aus-dem-Gemeindebau-in-die-Welt;3;Regular;Regular;M;1960;.;67104;16;3;36;AUT;AUT.3_1;AUT.3.17_1;.;8;.;.
AUS;Faymann;AUS_2008_1;8251af7e-1e42-11e4-b4cd-db5882bf8def;02dec2008;09may2016;2008;2016;Austria;Wien;Wien;Austria;Europe;48;16;Vienna;1;0;Austrian;.;Austrians;.;http://www.jahrbuch-politik.at/politik_eintrag/die-aera-faymann-wer-war-werner-faymann-und-was-bleibt-von-seiner-kanzlerschaft/;https://www.munzinger.de/search/portrait/Werner+Faymann/0/26053.html;3;Regular;Regular;M;1960;04may1960;67652;16;9;96;AUT;AUT.9_1;AUT.9.1_1;.;4;.;.
AUS;Reinhold Mitterlehner;AUS_2016_1;.;09may2016;17may2016;2016;2016;Austria;Oberösterreich;Rohrbach im Mühlkreis;Austria;Europe;49;14;Helfenberg;1;0;.;.;.;.;.;.;.;Regular;Regular;M;1955;10dec1955;64129;16;4;55;AUT;AUT.4_1;AUT.4.11_1;PhD in law;8;.;.
AUS;Kern;AUS_2016_2;.;17may2016;18dec2017;2016;2017;Austria;Wien;Wien;Austria;Europe;48;16;Simmering;1;0;.;.;.;.;.;.;.;Regular;Regular;M;1966;04jan1966;67953;16;9;96;AUT;AUT.9_1;AUT.9.1_1;Master´s degree in journalism and communication;7;.;.
AUS;Kurz;AUS_2017_1;.;18dec2017;28may2019;2017;2019;Austria;Wien;Wien;Austria;Europe;48;16;Meidling;1;0;Austrian;Danube-Swabian/Serb;.;.;https://en.wikipedia.org/wiki/Sebastian_Kurz;https://ethnicelebs.com/sebastian-kurz;2;Regular;Regular;M;1986;27aug1986;67927;16;9;96;AUT;AUT.9_1;AUT.9.1_1;Secondary school diploma (Matura);4;.;.
AUS;Hartwig Löger;AUS_2019_1;.;28may2019;03jun2019;2019;2019;Austria;Steiermark;Liezen;Austria;Europe;48;14;Selzthal;1;0;.;.;.;.;.;.;.;Regular;Regular;M;1965;15jul1965;73274;16;6;76;AUT;AUT.6_1;AUT.6.8_1;Training as insurance specialist;5;.;.
AUS;Bierlein;AUS_2019_2;.;03jun2019;07jan2020;2019;2020;Austria;Wien;Wien;Austria;Europe;48;16;Vienna;1;0;.;.;.;.;.;.;.;Regular;Regular;F;1949;25jun1949;67652;16;9;96;AUT;AUT.9_1;AUT.9.1_1;PhD in law;8;.;.
